Metric,Llama-3.2-3B_base,Llama-3.2-3B_finetuned,Llama-3.2-3B_delta,Phi-4-mini_base,Phi-4-mini_finetuned,Phi-4-mini_delta,Qwen2.5-1.5B_base,Qwen2.5-1.5B_finetuned,Qwen2.5-1.5B_delta
Model,meta-llama/Llama-3.2-3B-Instruct (base),Llama-3.2-3B (fine-tuned),,microsoft/Phi-4-mini-instruct (base),Phi-4-mini (fine-tuned),,Qwen/Qwen2.5-1.5B-Instruct (base),Qwen2.5-1.5B (fine-tuned),
Accuracy,0.08108617763530078,0.9282481614180652,0.8471619837827645,0.07222326984725627,0.9697341127663587,0.8975108429191025,0.079294738827079,0.8993965679803885,0.8201018291533094
Precision (Macro),0.33600858471729017,0.5435986383124995,0.20759005359520943,0.3148213537860187,0.5882261859159229,0.2734048321299042,0.3410793865227295,0.5911685127358138,0.2500891262130843
Precision (Weighted),0.8421197440892727,0.919351338750933,0.0772315946616603,0.7826269330220706,0.9762124867283973,0.19358555370632657,0.8578683415567165,0.9669547723498833,0.10908643079316671
Recall (Macro),0.2957871423444134,0.4586038867365792,0.1628167443921658,0.2539915823342116,0.6464877537619257,0.3924961714277141,0.27037228898421367,0.5871802983458952,0.31680800936168163
Recall (Weighted),0.08108617763530078,0.9282481614180652,0.8471619837827645,0.07222326984725627,0.9697341127663587,0.8975108429191025,0.079294738827079,0.8993965679803885,0.8201018291533094
F1-Score (Macro),0.0559732696885806,0.48767322549211684,0.43169995580353615,0.058185216822000896,0.6133818752940853,0.5551966584720844,0.05830094180806591,0.5881091472533017,0.5298082054452358
F1-Score (Weighted),0.01703357225665961,0.9198376183527882,0.9028040460961286,0.02252794443184139,0.9717422967424109,0.9492143523105695,0.02776328109042704,0.9314587175277732,0.9036954364373462
Exact Match Accuracy,0.0,0.2927588157646615,0.2927588157646615,0.0,0.4155195172543843,0.4155195172543843,0.0,0.2780501602866302,0.2780501602866302
Avg Partial Match,0.18599982666261328,0.8569247726871877,0.6709249460245745,0.20499113329809107,0.9306588553949222,0.7256677220968313,0.18628653501481693,0.8461641298641862,0.6598775948493694
Avg F1 (Word-level),0.09659763216477468,0.8489968817175203,0.7523992495527457,0.10605188334002048,0.9302917892807354,0.8242399059407151,0.13118855109159672,0.8188463979976817,0.687657846906085
